Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
5944.0,32.0,39.0,32.0,38.0,24.0,28.0,0.19307078612958126,0.6026933046608149,D,W,W,W,L,W,D,L,W,W,7.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853746198122928,0.580219110909349,-0.2905918434197481,0.033787923340025686,-0.621874100176713,
5532.0,20.0,33.0,20.0,22.0,33.0,27.0,-1.071697850116135,-0.21759739606532838,W,D,W,L,L,L,D,W,W,L,18.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8726094406007223,-0.35744609816497963,-0.6134180543304892,0.033787923340025686,1.1183789500036945,
1846.0,25.0,16.0,45.0,38.0,43.0,52.0,0.20090217088196421,-0.5462395037401424,L,W,L,L,D,D,L,W,L,D,11.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09866991065943835,-0.6518820333803864,0.5328489264386613,-0.0517118117671327,0.2482524249134908,H
1874.0,10.0,23.0,40.0,54.0,51.0,21.0,-0.043828602393113356,1.6173210383945429,L,D,L,L,D,W,W,L,L,D,7.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44720414334412967,1.3525472179006854,-1.1826526774339254,-0.3580858625684889,0.4968600035106919,NH
5198.0,0.0,34.0,48.0,25.0,26.0,38.0,1.8198903632475145,-0.7788169953112135,L,W,D,W,W,L,W,W,D,W,4.0,17.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.269765228637069,-0.7651266238488854,1.8590636278982176,0.033787923340025686,-1.6163044145655174,
2982.0,3.0,36.0,42.0,61.0,38.0,55.0,0.5272098685605313,-0.21759739606532838,D,W,L,D,W,L,W,D,L,W,10.0,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1890214782182908,0.2540746903616264,0.5328489264386613,0.11928765844718406,0.6211637928092925,H
5492.0,11.0,39.0,38.0,29.0,13.0,19.0,2.2892714360807895,0.9545594545952363,W,W,L,W,D,W,D,W,W,W,3.0,13.0,10.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.078875099664466,0.8127480033373624,0.9617243274071939,-0.4364606197507561,-1.2433930466697158,
505.0,20.0,15.0,7.0,18.0,23.0,17.0,-1.2448919358117054,-0.11142071512990738,W,D,L,L,L,D,D,L,W,D,13.0,16.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.826513490408571,0.09727448817565826,-0.81316002429247,-0.40028765489631685,-0.3732665215795119,NH
905.0,32.0,0.0,14.0,31.0,15.0,13.0,-0.2950855296213317,1.8462750400552868,L,D,L,W,W,W,W,W,L,L,11.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091068381214763,1.7760819862500015,-1.525752998208134,-0.3424109111309068,1.2426827393022952,NH
3866.0,40.0,41.0,2.0,7.0,13.0,10.0,-1.1975593906523734,-1.2316930425756278,D,L,D,W,L,L,L,L,D,D,16.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3343687300411524,-0.6583531528356865,0.01819844527734846,1.2429984627126942,0.12394863561489027,NH
